Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ENVY.JK,89.0,2020/09/02,13:30 WIB,0.0,90.0,91.0,88.0,464008000,,,,,,,
BMTR.JK,296.0,2020/09/02,13:31 WIB,-2.0,300.0,302.0,294.0,25966800,,,,,,,
DMAS.JK,230.0,2020/09/02,13:31 WIB,6.0,224.0,232.0,224.0,18751100,,,,,,,
REAL.JK,50.0,2020/09/02,13:30 WIB,0.0,50.0,50.0,50.0,36700,,,,,,,
ELSA.JK,252.0,2020/09/02,13:31 WIB,6.0,250.0,252.0,248.0,20586000,,,,,,,
PGAS.JK,1320.0,2020/09/02,13:31 WIB,35.0,1300.0,1315.0,1280.0,49161000,,,,,,,
FREN.JK,94.0,2020/09/02,13:31 WIB,3.0,91.0,96.0,90.0,482700800,,,,,,,
BBRI.JK,3640.0,2020/09/02,13:31 WIB,30.0,3620.0,3650.0,3590.0,62148100,,,,,,,
PPRO.JK,50.0,2020/09/02,13:31 WIB,0.0,50.0,50.0,50.0,29317500,,,,,,,
BIMBOA.MX,42.08,2020/09/01,14:59 CDT,1.6600037,40.42,42.2,40.4,3488709,,,,,,,
KIMBERA.MX,36.74,2020/09/01,14:59 CDT,1.5800018,35.25,36.99,34.98,3710538,,,,,,,
TLEVISACPO.MX,27.41,2020/09/01,14:59 CDT,0.3899994,0.0,0.0,0.0,0,,,,,,,
FUNO11.MX,17.4,2020/09/01,14:59 CDT,0.3199997,17.13,17.55,17.1,6929011,,,,,,,
CEMEXCPO.MX,7.2,2020/09/01,14:59 CDT,0.17999983,7.03,7.23,7.0,27252184,,,,,,,
GMEXICOB.MX,60.2,2020/09/01,14:59 CDT,1.7999992,58.83,60.48,58.78,6964722,,,,,,,
GFNORTEO.MX,77.0,2020/09/01,14:59 CDT,1.3300018,75.85,79.08,75.85,5406249,,,,,,,
FEMSAUBD.MX,127.55,2020/09/01,14:59 CDT,0.19000244,127.18,128.25,126.8,2848696,,,,,,,
WALMEX.MX,53.09,2020/09/01,14:59 CDT,0.5600014,0.0,0.0,0.0,0,,,,,,,
AMXL.MX,13.41,2020/09/01,14:59 CDT,0.119999886,13.3,13.43,13.11,49293877,,,,,,,
FR.MX,284.77,2020/09/01,15:16 CDT,1.789978,0.0,0.0,0.0,0,,,,,,,
TATN.ME,549.5,2020/09/01,00:15 MSK,0.0,549.9,550.8,543.1,6284614,,,,,,,
SNGSP.ME,37.245,2020/09/01,00:15 MSK,0.0,37.225,37.375,36.92,31342400,,,,,,,
SBER.ME,227.64,2020/09/01,00:14 MSK,0.0,226.7,227.97,226.01,75100740,,,,,,,
ROSN.ME,373.9,2020/09/01,00:14 MSK,0.0,375.3,375.45,369.8,7116940,,,,,,,
NVTK.ME,1106.0,2020/09/01,00:13 MSK,0.0,1110.0,1110.0,1091.6,2134776,,,,,,,
NLMK.ME,161.28,2020/09/01,00:12 MSK,0.0,155.5,161.76,152.4,18307900,,,,,,,
MTSS.ME,339.5,2020/09/01,00:12 MSK,0.0,337.4,341.3,331.6,8324560,,,,,,,
MGNT.ME,4497.5,2020/09/01,00:12 MSK,0.0,4480.0,4540.0,4376.0,1111858,,,,,,,
LKOH.ME,4949.0,2020/09/01,00:11 MSK,0.0,5010.0,5016.0,4917.0,2570150,,,,,,,
GMKN.ME,19930.0,2020/09/01,00:11 MSK,0.0,19450.0,19944.0,19332.0,757177,,,,,,,
GAZP.ME,184.22,2020/09/01,00:10 MSK,0.0,181.4,184.87,181.01,96028530,,,,,,,
CHMF.ME,946.4,2020/09/01,00:09 MSK,0.0,934.6,947.6,919.6,2658874,,,,,,,
ALRS.ME,68.25,2020/09/01,00:09 MSK,0.0,66.47,68.76,66.06,39116360,,,,,,,
IMOEX.ME,2975.0,2020/09/01,18:51 MSK,0.0,2976.07,2993.28,2967.96,0,,,,,,,
SPM.MI,1.764,2020/09/01,17:35 CEST,-0.030999899,1.8055,1.81,1.7315,17298109,,,,,,,
A2A.MI,1.2335,2020/09/01,17:39 CEST,0.010499954,1.227,1.24,1.2235,7491586,,,,,,,
BAMI.MI,1.4075,2020/09/01,17:35 CEST,-0.0044999123,1.43,1.43,1.377,17397590,,,,,,,
